2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=3, price=100.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=20, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=21, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=25, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=26, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=27, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=28, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=29, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=30, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=34, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=35, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=36, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=43, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=44, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=45, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=46, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=47, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=48, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=55, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=56, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=57, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=58, price=145.0, payday=2025-04-15, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=59, price=55.0, payday=2025-04-15, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=60, price=145.0, payday=2025-04-15, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=61, price=145.0, payday=2025-04-15, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=62, price=55.0, payday=2025-04-15, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=63, price=145.0, payday=2025-04-15, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=3, price=100.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=4, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=5, price=100.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=6, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=10, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=11, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=12, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=13, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=14, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=15, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=19, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=20, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=21, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=25, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=26, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=27, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=28, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=29, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=30, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=34, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=35, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=36, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=43, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=44, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=45, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=46, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=47, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=48, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=55, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=56, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=57, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=58, price=145.0, payday=2025-04-15, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=59, price=55.0, payday=2025-04-15, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=60, price=145.0, payday=2025-04-15, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=61, price=145.0, payday=2025-04-15, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=62, price=55.0, payday=2025-04-15, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=63, price=145.0, payday=2025-04-15, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=64, price=145.0, payday=2025-04-15, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=65, price=55.0, payday=2025-04-15, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:23:45 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-15) to pay for the receivable: Receivables{id=66, price=145.0, payday=2025-04-15, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=3, price=100.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=4, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=5, price=100.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=6, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=10, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=11, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=12, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=13, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=14, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=15, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=19, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=20, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=21, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=25, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=26, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=27, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=28, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=29, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=30, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=34, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=35, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=36, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 14:54:31 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=43, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
